restaurant,pin_code,delivery_fee,estimated_delivery_mins
13711d2b-7c5b-454b-b53c-65a13e98c0a1,500034,40.00,30
13711d2b-7c5b-454b-b53c-65a13e98c0a1,500035,50.00,35
13711d2b-7c5b-454b-b53c-65a13e98c0a1,500036,55.00,38
13711d2b-7c5b-454b-b53c-65a13e98c0a1,500037,60.00,40
13711d2b-7c5b-454b-b53c-65a13e98c0a1,500038,65.00,45
f2b7aef6-1733-4a59-bc75-84d1186c2ba9,500072,30.00,25
f2b7aef6-1733-4a59-bc75-84d1186c2ba9,500073,45.00,30
f2b7aef6-1733-4a59-bc75-84d1186c2ba9,500074,50.00,32
f2b7aef6-1733-4a59-bc75-84d1186c2ba9,500075,55.00,35
f2b7aef6-1733-4a59-bc75-84d1186c2ba9,500076,60.00,38
206f7d70-9ba6-4b30-a1c2-9d878c323c9b,500072,35.00,28
206f7d70-9ba6-4b30-a1c2-9d878c323c9b,500074,55.00,40
206f7d70-9ba6-4b30-a1c2-9d878c323c9b,500075,60.00,42
206f7d70-9ba6-4b30-a1c2-9d878c323c9b,500076,65.00,45
206f7d70-9ba6-4b30-a1c2-9d878c323c9b,500077,70.00,48
f3f5328b-eef1-474c-b79b-9d1f342d2032,500032,60.00,35
f3f5328b-eef1-474c-b79b-9d1f342d2032,500033,70.00,40
f3f5328b-eef1-474c-b79b-9d1f342d2032,500034,75.00,42
f3f5328b-eef1-474c-b79b-9d1f342d2032,500035,80.00,45
f3f5328b-eef1-474c-b79b-9d1f342d2032,500036,85.00,48
2cca97e8-1671-4021-af3b-1349b81765b8,500034,45.00,30
2cca97e8-1671-4021-af3b-1349b81765b8,500036,55.00,35
2cca97e8-1671-4021-af3b-1349b81765b8,500037,60.00,38
2cca97e8-1671-4021-af3b-1349b81765b8,500038,65.00,40
2cca97e8-1671-4021-af3b-1349b81765b8,500039,70.00,45
